res;cmc;heu;;;;;;;WDH;SVIH;BCH;A20H
0,007462312;4;0;0,007462312;4;;;;4;0,007462312;0,005294118;0,005806452;0,005806452
0,038327586;6;0;0,038327586;6;;;;6;0,038327586;0,021725572;0,056674266;0,057884116
0,019103981;8;0;0,031002207;8;;;;8;0,031002207;0,020035553;0,028285352;0,029121837
0,082193416;8;0;;;;;;10;0,087361393;0,042888087;0,320642042;0,348593358
0,087361393;10;0;0,087361393;10;;;;12;0,012809577;0,00773031;0,010831354;0,010687096
0,010188679;12;0;0,012809577;12;;;;16;0,012499987;0,007792208;0,010581065;0,013092469
0,017245829;12;0;;;;;;18;0,014712575;0,008;0,019046512;0,019659574
0,008698745;16;0;0,012499987;16;;;;20;0,034392746;0,016875;0,381854674;0,39396276
0,022201967;16;0;;;;;;24;0,019929919;0,010188055;0,019594799;0,020572822
0,014712575;18;0;0,014712575;18;;;;30;0,027146563;0,014318182;0,078315675;0,084144946
0,034392746;20;0;0,034392746;20;;;;32;0,023294118;0,010645161;0,03230856;0,033040533
0,01751073;24;0;0,019929919;24;;;;40;0,028373964;0,014318182;0,055858942;0,060058234
0,023124706;24;0;;;;;;;;;;
0,027146563;30;0;0,027146563;30;;;;;;;;
0,023294118;32;0;0,023294118;32;;;;;;;;
0,028373964;40;0;0,028373964;40;;;;;;;;
0,005294118;4;1;0,005294118;4;;;;;;;;
0,021725572;6;1;0,021725572;6;;;;;;;;
0,014416571;8;1;0,020035553;8;;;;;;;;
0,032832174;8;1;;;;;;;;;;
0,042888087;10;1;0,042888087;10;;;;;;;;
0,005714286;12;1;0,00773031;12;;;;;;;;
0,011944316;12;1;;;;;;;;;;
0,005;16;1;0,007792208;16;;;;;;;;
0,017647059;16;1;;;;;;;;;;
0,008;18;1;0,008;18;;;;;;;;
0,016875;20;1;0,016875;20;;;;;;;;
0,00791623;24;1;0,010188055;24;;;;;;;;
0,01428866;24;1;;;;;;;;;;
0,014318182;30;1;0,014318182;30;;;;;;;;
0,010645161;32;1;0,010645161;32;;;;;;;;
0,014318182;40;1;0,014318182;40;;;;;;;;
0,005806452;4;2;0,005806452;4;;;;;;;;
0,056674266;6;2;0,056674266;6;;;;;;;;
0,015010017;8;2;0,028285352;8;;;;;;;;
0,244750154;8;2;;;;;;;;;;
0,320642042;10;2;0,320642042;10;;;;;;;;
0,006923077;12;2;0,010831354;12;;;;;;;;
0,024872727;12;2;;;;;;;;;;
0,005641791;16;2;0,010581065;16;;;;;;;;
0,084974734;16;2;;;;;;;;;;
0,019046512;18;2;0,019046512;18;;;;;;;;
0,381854674;20;2;0,381854674;20;;;;;;;;
0,014896552;24;2;0,019594799;24;;;;;;;;
0,028621908;24;2;;;;;;;;;;
0,078315675;30;2;0,078315675;30;;;;;;;;
0,03230856;32;2;0,03230856;32;;;;;;;;
0,055858942;40;2;0,055858942;40;;;;;;;;
0,005806452;4;3;0,005806452;4;;;;;;;;
0,057884116;6;3;0,057884116;6;;;;;;;;
0,015356742;8;3;0,029121837;8;;;;;;;;
0,280977288;8;3;;;;;;;;;;
0,348593358;10;3;0,348593358;10;;;;;;;;
0,006486486;12;3;0,010687096;12;;;;;;;;
0,030326087;12;3;;;;;;;;;;
0,007015385;16;3;0,013092469;16;;;;;;;;
0,097888446;16;3;;;;;;;;;;
0,019659574;18;3;0,019659574;18;;;;;;;;
0,39396276;20;3;0,39396276;20;;;;;;;;
0,015401325;24;3;0,020572822;24;;;;;;;;
0,030973028;24;3;;;;;;;;;;
0,084144946;30;3;0,084144946;30;;;;;;;;
0,033040533;32;3;0,033040533;32;;;;;;;;
0,060058234;40;3;0,060058234;40;;;;;;;;
